title;summary
Ассинский зеркальный водопад;"Ассинский зеркальный водопад (Абзановский водопад) — водопад в Предуралье, у реки Инзер, на скале Плачущий Камень. Административно находится в Архангельском районе Башкортостана. Памятник природы с 1965 года (Постановление СМ БАССР от 17.08.1965 № 465). Высота около 6 метров.
Туристическая и научная достопримечательность
Плачущий Камень сложен карбонатными породами, обильно порос мхом, есть деревья. Водопад находится с южной его стороны, которая круто спускается к Инзеру. С обратной, северной части, гора полога и покрыта степной растительностью.
Рядом расположены деревни Абзаново (по другую сторону скалы) и Асы (к западу от горы)."
Атыш ;"Атыш (от башк. Атыш — бьющий, стреляющий) — водопад на Южном Урале, в Белорецком районе Республики Башкортостан. Водопад — это выход из грота Атыш на поверхность подземной реки, которая также называется Атыш. Сам грот (он же Атышская пещера) находится в горе Яш-Кузь-таш.
Внутри Атышского грота вода бьёт из наклонного отверстия мощной восходящей струёй шириной 6 м и высотой 4,5 м, что и дало название водопаду. У основания скалы за столетия выработались два водобойных котла диаметром 20 м, глубиной 7—10 м. Из этого озера река Атыш течёт дальше в Лемезу, откуда до недавнего времени заходил в озеро на нерест таймень.
Возраст водопада очень большой. Гора, где находится водопад Атыш, сложена известняками возрастом 570 миллионов лет. Воды речушек Агуй и Атыш проточили в верхней части горы известняк и прошли вниз на южный склон горы, составляющий коренной берег речной долины реки Лемеза.
В настоящее время водопад Атыш — одно из наиболее популярных мест ценителей башкирских природных красот, несмотря на экологическую обстановку вокруг водопада.
К водопаду пробита дорога с берега реки Лемезы, что позволяет подъехать к нему на автомобиле. Рядом располагается Заповедная пещера."
Атыш-Сумган;Атыш-Сумган, Атышсумган — подземный водопад в Белорецком районе Башкортостана. Туристическая достопримечательность на Южном Урале. Высота — 6 м.
Ауграбис;"Аугра́бис (Aughrabies) — водопад на реке Оранжевой, в Северо-Капской провинции ЮАР. Высота 190 м (непрерывного падения — 148 м, по другим данным — 146 м). Расположен в 500 км от устья. Потоки воды устремляются в скалистое ущелье, глубиной до 200 м и длиной 18 км.
Название Aughrabies водопаду дал финн Хендрик Якоб Викар (Hendrik Jakob Wikar), который переправлялся через реку в 1778 году. Оно происходит от слова из койсанских языков Aukoerebis, которое означает «место большого шума».
В 1954 году город Апингтон выступил с инициативой о создании на месте водопада национального парка. 5 августа 1966 года было объявлено о создании национального парка «Ауграбис»."
Аулафосс;"Аулафосс (исл. Álafoss) — водопад на реке Вармау в Исландии, в регионе Хёвюдборгарсвайдид.
Около водопада с 1896 года находилась фабрика по переработке шерсти того же названия. Она начала работать, когда местный фермер привёз оборудование для обработки шерсти с использованием энергии водопада. Около водопада находится студия «Sundlaugin», которая принадлежит группе Sigur Rós.
Во время Второй мировой войны здесь были построены бараки для британских солдат. Аулафосс играл главную роль в основании и приросте города Мосфедльсбайр."
Афу-Аау;Афу-Аау (самоан.  Afu Aau ), также известный как Олемо (самоан. Olemoe) — водопад на юго-востоке острова Савайи в Самоа. Высота водопада — 15-20 метров. Наряду с близлежащим курганом  Пулемелей является одной из двух главных достопримечательностей Савайи.
Афурджа ;Афурджа (азерб. Afurca şəlaləsi) — самый высокий водопад Азербайджана. Расположен в бассейне реки Вельвелечай, у Тенгинского ущелья, близ села Афурджа Губинского района. Падает с горы Тенги. Высота водопада около 50 м. Водопад Афурджа является природным памятником Азербайджана и охраняется государством.
Ачипсинские водопады;"Ачипсинские водопады — водопады у истоков реки Ачипсе на территории Адлерского района города Сочи. Расположены на хребте Ачишхо на высоте 1750 м над уровнем моря, на территории Сочинского национального парка (для посещения необходимо наличие пропуска) в 7 км к северо-западу от посёлка Красная Поляна.
Ачипсинские водопады берут свое начало с уступов в верховьях реки Ачипсе и спадают по склонам в виде двух красивых и мощных потоков. По мере протекания вниз эти потоки постепенно сближаются, в итоге образуя один мощный поток горной воды (один из потоков является истоком реки Ачипсе, второй поток является её притоком).
Возле водопадов находятся несколько палаточных кемпингов. Добраться до водопадов возможно несколькими направлениями, главные маршруты начинаются из Красной Поляны и от Хмелевских озёр. От Красной Поляны (от крайней верхней улицы) до водопадов дойти возможно за 3-4 часа. Через водопады также проходит один из основных маршрутов восхождения на хребет Ачишхо и гору Ачишхо-Главная.
Самым удачным временем посещения водопадов является период с 15 мая по 15 октября, так как в этот период нет снежного покрова и погода относительно стабильная."
Аюкский водопад;Аюкский водопад — водопад на реке Бурлаченкова щель, левом притоке реки Чепси, в 10 км от села Фанагорийского Горячеключевского района.
Баатара;"Баатара — водопад, расположенный в районе Джебейль (мухафазе Горный Ливан в  Ливане). Высота падения воды составляет 225 метров.
Водопад Баатара находится на Ливанском хребте, недалеко от города Таннорин.
Был открыт миру в 1952 году, спелеологом Генри Койфу.
Своим вторым названием «Пещера трёх мостов» он обязан тому, что при падении в долину поток проходит через три естественных моста, каждый из которых нависает над другим."
Багровецкий водопад;"Багрове́цкий водопа́д (укр. Багрове́цький водоспа́д) — каскад водопадов в Украинских Карпатах (массив Горганы). Расположен на территории Надворнянского района Ивано-Франковской области, на юго-запад от города Яремче. Высота водопада — 10 метров (по другим данным — 1,5 м).
Водопад расположен на небольшом горном ручье Багровец (правый приток р. Жонка), который течёт по северному склону хребта Яворник. Вода падает тремя уступами, которые образовались в месте выхода на поверхность мощных флишевых пластов горизонтального залегания.
Водопад труднодоступный и малоизвестен."
Балайфоссен;"Балайфоссен (норв. Balåifossen) — второй по высоте водопад Европы, находящийся в юго-западной Норвегии. Расположен в регионе Хордаланн в 140 км к востоку от Бергена.
Образован рекой Балай. Высота Балайфоссена составляет 850 метров (по другим данным — 765 метров). Водопад состоит из трёх каскадов, высота наибольшего из них — 452 метра. Средняя ширина Балайфоссена составляет около 8 метров. Расход воды — 1 м³ в секунду. Балайфоссен питается в основном за счёт тающих снегов, поэтому летом или осенью может пересыхать."
Басасеачи ;"Басасеачи (исп. Basaseachi) — водопад, расположенный на реке Басасеачи, который является вторым по величине водопадом в Мексике. Находится в национальном парке Басасеачи в Медном Каньоне, на северо-западе Мексики.
Водопад Басасеачи находится в горах Сьерра-Мадре, в муниципалитете Окампо.
Водопад создается двумя потоками Арройо дель Дуразно и Арройо-де-Басасеачи, которые сливаются в высоких горах и падают вниз со стены каньона."
Безымянный водопад;"Безымя́нный — водопад на южном склоне горы Аибги, в верховьях реки Безымянки, в 4 км к северу от села Аибга. Перепад трёх ступеней водопада составляет 75 м, что делает Безымянный одним из высочайших в Краснодарском крае России. Подстилающие горные породы сложены песчаниками, аргиллитами, глинистыми сланцами.Территория водопада включена в состав ООПТ Водопад Безымянный 26 января 1988 года.
Описание из книги «Путеводитель по Кубани» А. Самойленко:
«Водопад Безымянный.
В расщелинах южного склона горы Аибги из снежников и ключей рождается речка Безымянка. Прыгая с камня на камень, пробиваясь через лесные чащи, она подбегает к обрыву и срывается трёхступенчатым водопадом с высоты около 75 м.
Струя падающей воды пропилила в уступе широкую выемку, обнажив разноцветные пласты песчаников, аргиллитов, глинистых сланцев мелового периода. Красные слои чередуются с серыми, розоватыми, синеватыми. В нижней части утеса возле водопада пласты изогнуты в виде крутого свода.
С уступов скал, цепляясь за камни, свисают плети плюща колхидского. Местами они сплетаются настолько густо, что образуют как бы гигантские тёмно-зелёные покрывала с длинными кистями. Отлогие склоны покрыты пышными зарослями папоротника страусопера. На дне ущелья стоят одиночные деревья ольхи, клёна явора, ясеня. А вверху, над водопадом, сомкнулся нетронутый широколиственный лес.
На фоне этой роскошной растительной зелени и многоцветья горных пород сверкает, брызжется и шумит белопенный красавец водопад. Под ним волнуется наполненный до краев студёной водой округлый бассейн. Отсюда речка, бурля и пенясь, устремляется вниз через завалы громадных валунов. Пробежав километра два, она отдаёт свою воду реке Псоу, которая протекает по границе России с Грузией и впадает в Чёрное море.
Водопад Безымянный нуждается в охране, так как это самый высочайший из известных нам водопадов Северо-Западного Кавказа».
Описание Лозовой С. П. из книги «Памятники природы Краснодарского края»:
«Водопад Аибгинский (Безымянный) находится в 4 километрах к северу от села Аибга, в лесу. Это один из самых крупных водопадов в Краснодарском крае.
Потоки воды устремляются вниз с высоты 75 метров тремя ступенями. Струя падающей воды пробила в уступе широкую выемку, обнажив разноцветные слои песчаников, аргиллитов, глинистых сланцев, которые, перепиваясь на солнце, придают воде различные оттенки. Они чередуются, образуя красные, серые, розовые, синие полосы.
У подножия водопада растут ольха, ясень, клён, скалы вокруг него покрыты колхидским плющом. Он шумит, бурлит, пенится, сверкает на фоне многоцветья горных пород и роскошной растительности Вокруг него порхают стрекозы и бабочки.
Водопад обрушивается в округлый водобойный котел, из которого вытекает бурливая река Безымянная».
Водопад Безымянный находится рядом с абхазской границей, поэтому для его посещения требуется специальное разрешение или постоянная прописка в Сочи"
Белые водопады;"Белые водопады — холодные минеральные источники-водопады в южной части полуострова Камчатка.
Находятся на территории Усть-Большерецкого района Камчатского края России.
Расположены на внешнем склоне центрального кратера Кошелевского вулкана. Под напором из трещин, выбиваясь невысокими фонтанчиками, вода из источников сливается в два ручья и падает с двадцатиметрового обрыва, давая начало многоводному правому истоку Левой Паужетки. Западный ручей падает с отвесного обрыва, восточный стекает по крутому ступенчатому руслу. У самого выхода из земли прозрачная вода источников стремительно белеет, приобретая вид сильно разбавленного молока. Брызги разлетаются по сторонам, покрывая черные скалы белым как снег налётом. Белым налетом с коричневатым оттенком покрыто и дно бурной речки, но постепенно ниже по течению эта окраска исчезает.
Осадок этот состоит из 60 % окиси алюминия, 20 % соединений железа и других веществ. На глубине, под большим давлением, эти соединения находятся в растворенном состоянии, но при выходе на поверхность давление резко падает, растворимость понижается, и окись алюминия выпадает в виде белого осадка. В свою очередь соединения железа, растворённые в воде, окисляются кислородом воздуха и позже, выпадая в виде бурого осадка, подкрашивают белый осадок в коричневатый тон.
Температура воды в местах выхода равна 4,2 °C.
Белые водопады являются памятником природы."
Беневские водопады;"Беневские или Еломовские водопады — водопады в Приморском крае.
Расположены водопады в нескольких километрах от сёл Беневское и Кишинёвка Лазовского района на правом притоке реки Киевка — Еломовском ключе, берущем своё начало на склонах гор Белой и Лысой Партизанского хребта горной системы Сихоте-Алинь. Являются каскадом нескольких водопадов. Основной водопад (Звезда Приморья) имеет высоту более 20 м. Всего насчитывается более 10 водопадов высотой от 1 до 5 м. Зимой водопады замерзают, образуя ледяную стену, по которой течёт вода ключа, увеличивая наледь.
Беневские водопады — посещаемое туристами место. Первое своё название каскад получил от наименования села Беневское, второе — в честь Еломовского ключа. Участок реки Киевка ниже водопадов популярен среди любителей сплава."
Блади-Фолс;"Блади-Фолс — каскад порогов на реке Коппермайн в западной части Территориального парка Куглук/Блади-Фолс, на северо-западе Канады (Нунавут). 
Водопад известен по событию 1771 года, когда произошла резня у Блади-Фоллс, а также как место убийства двух священников, совершённого в 1913 году Улоксаком и Синнисиаком — охотниками из народности медных инуитов.
Ближайшая деревня, Куглуктук, расположена в 15,8 километра от водопада.
В течение многих веков в этих районах проживали инуиты из подгруппы Коглуктогмиут.
В 1978 году северо-западная часть Территориального парка Куглук/Блади-Фолс получила статус Национального исторического места Канады, так как там находятся археологические зоны участков охоты и рыбной ловли, принадлежавших представителям доколумбовых цивилизаций (культуры Пре-Дорсет, Туле) и инуитам; возраст останков датируется 1700 годом до нашей эры."
Бойома;"Бойо́ма (до 1983 года — Стэнли) — ряд водопадов на реке Луалабе в Демократической Республике Конго, между городами Убунду и Кисангани. Состоят из семи порогов, разделённых плёсами, на расстоянии около 150 км; общая высота падения 40 м. Расход воды составляет около 17 000 м³/с, и по этому показателю водопады входят в Книгу рекордов Гиннесса. Первоначально были названы в честь первооткрывателя Генри Стэнли, в 1983 году переименованы в Бойома."
Большой Адегойский водопад;Большой Адегойский водопад — водопад на безымянном ручье в урочище Ивановская Щель. Назван по реке Адегой, протекающей неподалёку. Высота 11 метров, с каскадом из нескольких водопадов выше и ниже Большого Адегойского — 40 метров.
Большой Амгинский;"Большой Амгинский (Чёрный Шаман) — водопад в Тернейском районе Приморского края Российской Федерации.
Один из самых высоких водопадов Приморья (33 метра). Находится 40 км от посёлка Амгу, в верховьях реки Амгу, на реке Средняя Амгу. Вода пробила узкое ущелье, которое назвали Пастью Дьявола. Он окружён двухсотметровыми мрачными скалами, скрывающими солнце. Снег и лёд там держатся до середины июня. Своё второе название Чёрный Шаман водопад получил благодаря огромному чёрному камню, лежащему наверху.
Выше по течению расположены ещё шесть водопадов высотой от 3 до 9 метров."
Большой Иркиндинский водопад;Большой Иркиндинский водопад (Китабо-Орон) — водопад на реке Иркинда. Высота падения воды — 27 метров.
Большой Курейский водопад;Большой Курейский водопад — водопад в Красноярском крае на плато Путорана (Среднесибирское плоскогорье), на реке Курейка, в семи километрах выше места впадения в Курейку её правого притока Яктали. Считается самым крупным в России по мощности потока водосброса (объёму воды, сбрасываемой за 1 секунду). Высота — 13 метров. Предположительный объём сброса в межень (при низком уровне воды в реке) около 300 м³/с, в половодье и паводок до 1000 м³/с.
Большой Чульчинский водопад;"Большой Чульчинский водопад, или Чульчинский, или Учар (южноалт. «летящий» или «неприступный») — каскадный водопад на реке Чульча на востоке Алтая. Административно расположен в Улаганском районе Республики Алтай, на территории Алтайского заповедника. Является самым большим в регионе, имея высоту падения около 160 метров.
Несмотря на устоявшееся название «водопад», на самом деле это скорее «водоскат» — падение воды реки с крутого, но не отвесного уступа."
Большой Шалтан;"Большой Шалтан — водопад на северо-востоке Республики Алтай в Турочакском районе. Расположен на территории Алтайского государственного заповедника в 12 км от устья реки Камга на её небольшом притоке Большой Шалтан. Высота прямого падения водной струи — около 8 метров, а с учётом каскада около 20 метров. Водопад является крупнейшим в прителецком бассейне.
В районе водопада обитает достаточно крупное стадо маралов, встречаются медведи, популяция которых считается одной из самых больших в Горном Алтае. В летний период встречаются клещи.
Добраться до водопада можно на катере или лодке по Телецкому озеру до устья реки Камги, далее пешей тропой до водопада. Камгинский залив является заповедной зоной особого покоя, его посещение возможно только с разрешения администрации заповедника. Автомобильных дорог в районе водопада нет. Долина Камги и Большого Шалтана весьма узкая, а окружающие горы имеют высоты до 1500 метров. Окрестности водопада покрыты лесами, основу которых составляют кедр и пихта.
Водопад Большой Шалтан является достаточно известной природной достопримечательностью в окрестностях Телецкого озера. Рядом с ним проходит несколько туристических маршрутов."
Большой Шымбулак ;"Большой Шымбулак — водопад в Алматинской области Казахстана. Расположен в глубоком и узком скальном каньоне в низовье реки Большой Шымбулак (приток Узын-Каргалы).
Высота водопада около 20 метров. По своим параметрам (высота падения воды, расход воды) водопад сравним с водопадом Медвежьим в Тургенском ущелье. Вблизи водопада есть небольшая смотровая площадка, где относительно сухо. Рекомендуемые периоды посещений: апрель — июнь; август — октябрь.
Стекая вниз, вода вырыла на дне ущелья глубокую, до 2 метров глубиной ванну. Ниже водопада растут урюк, барбарис, шиповник и другие кустарники."
Большой Янискенгас;"Большой Янискенгас — водопад на реке Кутсайоки в Мурманской области России. Угол наклона около 70-80°. Высота приблизительно 20 метров. Состоит из 3 ступеней. Первая около 7 метров, следующая около 12 метров, последняя около 1,5 м.
В туристической топонимике встречается под названием «Маманя». Водопад крайне опасен для прохождения, однако смельчаки не оставляют попыток. Известно не менее 5 случаев удачного прохождения водопада каякерами. Дополнительная опасность водопада для туристов заключается в том, что с наплыва он абсолютно не слышен и визуально заметен слабо."
Бордонес;Бордо́нес (исп. Salto de Bordones) — водопад, расположенный в национальном природном парке Пурасе в Колумбии на границе между муниципалитетами Иснос, Саладобланко и Питалитол департамента Уила. Высота составляет около 400 метров, что почти в восемь раз больше Ниагарского водопада. Водопад имеет четыре порога. Окружён высокими горами с густой растительностью.
Брайдлвейл ;"Водопа́д Бра́йдлве́йл (англ. Bridalveil Fall) — один из самых известных водопадов, находящихся на территории Национального парка Йосемити в Калифорнии (США). Высота падения воды — 189 м.
В переводе на русский Bridalveil означает «фата невесты» — по-видимому, имеются в виду мелкие капли воды, рассеивающиеся вокруг водопада, образуя подобие белого шлейфа. Индейцы аваничи, жившие в долине Йосемити, называли этот водопад «Похоно» (Pohono), что означало «дух порывистого ветра» (англ. Spirit of the Puffing Wind)."
